Microsoft (R) COFF/PE Dumper Version 14.33.31630.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file D:\Projects\MouriNaruto\ntdll-crt-analysis\ntdll.dll\10.0.16299.15\arm64\ntdll.dll

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    FCCC3633 time date stamp
        0.00 version
           8 ordinal base
        2317 number of functions
        2316 number of names

    ordinal hint RVA      name

          9    0 00043040 A_SHAFinal
         10    1 00043160 A_SHAInit
         11    2 000431A0 A_SHAUpdate
         12    3 000EC720 AlpcAdjustCompletionListConcurrencyCount
         13    4 000EC750 AlpcFreeCompletionListMessage
         14    5 000EC8B0 AlpcGetCompletionListLastMessageInformation
         15    6 000EC8D0 AlpcGetCompletionListMessageAttributes
         16    7 00082D10 AlpcGetHeaderSize
         17    8 00082CB0 AlpcGetMessageAttribute
         18    9 000EC910 AlpcGetMessageFromCompletionList
         19    A 000ECA40 AlpcGetOutstandingCompletionListMessageCount
         20    B 00082C50 AlpcInitializeMessageAttribute
         21    C 00097C10 AlpcMaxAllowedMessageLength
         22    D 000ECA50 AlpcRegisterCompletionList
         23    E 000ECAA0 AlpcRegisterCompletionListWorkerThread
         24    F 000ECAF0 AlpcRundownCompletionList
         25   10 000ECB00 AlpcUnregisterCompletionList
         26   11 000ECB10 AlpcUnregisterCompletionListWorkerThread
         27   12 0008CE40 ApiSetQueryApiSetPresence
         28   13 000766A0 CsrAllocateCaptureBuffer
         29   14 00076640 CsrAllocateMessagePointer
         30   15 00076780 CsrCaptureMessageBuffer
         31   16 000764B0 CsrCaptureMessageMultiUnicodeStringsInPlace
         32   17 000765A0 CsrCaptureMessageString
         33   18 000DB440 CsrCaptureTimeout
         34   19 00076330 CsrClientCallServer
         35   1A 00072790 CsrClientConnectToServer
         36   1B 00076300 CsrFreeCaptureBuffer
         37   1C 000DB470 CsrGetProcessId
         38   1D 000973F0 CsrIdentifyAlertableThread
         39   1E 000E1C20 CsrSetPriorityClass
         40   1F 000DB490 CsrVerifyRegion
         41   20 00024220 DbgBreakPoint
         42   21 0007E3D0 DbgPrint
         43   22 0007E420 DbgPrintEx
         44   23 000ECB70 DbgPrintReturnControlC
         45   24 000ECBC0 DbgPrompt
         46   25 000ECC10 DbgQueryDebugFilterState
         47   26 000ECC20 DbgSetDebugFilterState
         48   27 000DC5D0 DbgUiConnectToDbg
         49   28 000DC630 DbgUiContinue
         50   29 000DC650 DbgUiConvertStateChangeStructure
         51   2A 000DC660 DbgUiConvertStateChangeStructureEx
         52   2B 000DC900 DbgUiDebugActiveProcess
         53   2C 000DC960 DbgUiGetThreadDebugObject
         54   2D 000DC970 DbgUiIssueRemoteBreakin
         55   2E 000DC9E0 DbgUiRemoteBreakin
         56   2F 000DCA50 DbgUiSetThreadDebugObject
         57   30 000DCA60 DbgUiStopDebugging
         58   31 000DCA70 DbgUiWaitStateChange
         59   32 00024230 DbgUserBreakPoint
         60   33 0009CD40 EtwCheckCoverage
         61   34 001211D0 EtwCreateTraceInstanceId
         62   35 00036AB0 EtwDeliverDataBlock
         63   36 00120DD0 EtwEnumerateProcessRegGuids
         64   37 00085A90 EtwEventActivityIdControl
         65   38 0002D720 EtwEventEnabled
         66   39 0009CA30 EtwEventProviderEnabled
         67   3A 00035310 EtwEventRegister
         68   3B 00087C90 EtwEventSetInformation
         69   3C 00037BA0 EtwEventUnregister
         70   3D 000391C0 EtwEventWrite
